feature,importance
price_close,0.0273616
ls_top_top_account_short_percent,0.022547923
oi_mean_24,0.02138189
taker_buy_mean_12,0.016780153
basis_volatility_24,0.016373964
price_open,0.016079675
price_high,0.01603657
funding_mean_24,0.015949965
liq_short_zscore,0.015927752
price_macd,0.015639968
orderbook_bid_mean_12,0.015573352
price_rolling_vol_5,0.01557116
liq_short_mean_12,0.015534757
price_ema_26,0.015326156
funding_open,0.015139363
taker_sell_std_12,0.015032175
funding_std_24,0.014909557
taker_sell_mean_12,0.014828339
taker_aggregated_sell_volume,0.014732776
price_ema_12,0.014638733
funding_zscore,0.014600776
ls_global_global_account_long_percent,0.014461245
ls_global_global_account_long_short_ratio,0.014434545
orderbook_imbalance_usd,0.014303869
ls_global_global_account_short_percent,0.014256362
price_close_std_5,0.014006917
price_macd_histogram,0.013984463
taker_buy_std_12,0.01390817
funding_high,0.013884358
ls_top_vs_global,0.013804729
ls_global_zscore,0.013736794
ls_top_top_account_long_percent,0.013577955
ls_top_delta,0.01329489
liq_aggregated_long_liquidation_usd,0.0131941
price_macd_signal,0.013124699
cross_oi_funding,0.01288331
taker_aggregated_buy_volume,0.012761944
price_close_return_5,0.012683592
cross_ls_price,0.01242951
price_wick_lower,0.012156258
taker_imbalance,0.011890872
price_true_range,0.011692971
price_low,0.011672555
basis_delta,0.011585622
price_rsi_14,0.011560096
basis_close_basis,0.011360238
ls_top_top_account_long_short_ratio,0.011255349
liq_long_mean_12,0.0111807855
funding_low,0.011154255
ls_top_zscore,0.011084879
liq_long_zscore,0.010970636
basis_close_change,0.010804825
cross_ob_price,0.010754735
cross_taker_price,0.010744801
price_volume_usd,0.010463076
basis_open_change,0.01042433
cross_funding_price,0.010245422
orderbook_ask_mean_12,0.010191016
price_close_mean_5,0.010183544
basis_open_basis,0.009988359
cross_basis_taker,0.009982653
liq_long_ratio,0.009936144
basis_mean_24,0.00989462
orderbook_aggregated_asks_usd,0.009857285
orderbook_bid_ask_ratio_qty,0.00978171
basis_zscore,0.009763815
price_volume_change,0.009548493
funding_close,0.0094638355
orderbook_aggregated_bids_quantity,0.009421469
price_volume_mean_10,0.009360223
taker_sell_zscore,0.00908764
price_close_return_1,0.008733376
liq_imbalance,0.008206112
price_body_size,0.008137002
price_wick_upper,0.008093534
orderbook_bid_zscore,0.007364408
orderbook_ask_zscore,0.0073588258
orderbook_aggregated_bids_usd,0.007346358
oi_zscore,0.006980795
basis_drift,0.0037204204
ls_global_delta,0.0018986156
oi_low,0.0
oi_range_pct,0.0
oi_close,0.0
oi_open,0.0
orderbook_imbalance_qty,0.0
