feature,importance
price_close_return_5,0.022504274
ls_top_delta,0.016714869
price_close_return_1,0.015569224
ls_top_top_account_long_short_ratio,0.014951255
ls_global_delta,0.014720583
price_volume_mean_10,0.014575876
price_log_return,0.014560993
funding_norm,0.014350259
price_wick_upper,0.013427568
oi_change_abs,0.013213754
ls_top_vs_global,0.01314306
cross_liq_price,0.012994031
price_wick_lower,0.012709777
basis_open_change,0.012698394
taker_buy_ratio,0.012441161
taker_buy_mean_12,0.012392991
price_volume_change,0.012385519
price_rolling_vol_5,0.012356902
taker_aggregated_sell_volume,0.012200252
basis_delta,0.012139854
liq_short_mean_12,0.012094717
price_true_range,0.012040146
liq_long_mean_12,0.01195161
liq_imbalance,0.011823897
ob_imbalance_usd,0.01176951
price_close_mean_5,0.01170452
ob_pressure,0.0117023615
ls_top_zscore,0.01165027
taker_buy_momentum,0.011630705
price_volume_usd,0.011570759
basis_volatility_24,0.011475685
ob_aggregated_bids_quantity,0.011475542
oi_open,0.011470841
basis_mean_24,0.01134145
liq_aggregated_short_liquidation_usd,0.011330241
oi_high,0.011318056
price_close,0.011275229
liq_short_zscore,0.011232593
cross_ls_price,0.011181972
funding_close,0.011178003
liq_total,0.011141256
liq_ratio,0.011038941
cross_ob_price,0.0110385185
ls_global_zscore,0.011002675
cross_oi_taker,0.011002059
price_high,0.010941988
liq_long_zscore,0.010873386
taker_sell_zscore,0.010831351
liq_aggregated_long_liquidation_usd,0.0107796835
price_close_std_5,0.010768686
price_body_size,0.010750451
cross_funding_oi,0.01074151
basis_drift,0.010721464
price_low,0.010642502
price_open,0.0106222695
ls_top_top_account_short_percent,0.01060326
basis_close_change,0.010574052
funding_zscore,0.010511809
ls_top_top_account_long_percent,0.010490419
taker_aggregated_buy_volume,0.010453932
ob_bids_mean_12,0.01044899
taker_buy_std_12,0.010411927
ob_aggregated_bids_usd,0.010377627
oi_zscore,0.010365666
basis_close_basis,0.010222906
ob_asks_mean_12,0.010211154
cross_liq_funding,0.0101818675
basis_zscore,0.010160503
price_volume_zscore,0.010058986
ob_aggregated_asks_usd,0.010016637
taker_sell_std_12,0.009913245
funding_open,0.009891939
ob_bid_ask_ratio,0.009866125
taker_imbalance,0.009758917
oi_price_ratio,0.009688181
cross_funding_price,0.009646798
liq_total_mean_12,0.009255815
ob_pressure_asks,0.009250826
oi_close,0.009114112
taker_sell_mean_12,0.008893112
ls_global_global_account_long_percent,0.008646656
ls_global_global_account_long_short_ratio,0.0084800515
funding_low,0.00838345
funding_std_24,0.008115015
ob_depth_change,0.008082574
ls_top_ratio,0.007535363
basis_open_basis,0.0073348386
funding_mean_24,0.0066648233
taker_buy_zscore,0.0062777014
range_percent,0.0059451642
funding_high,0.0
ob_aggregated_asks_quantity,0.0
ls_global_global_account_short_percent,0.0
oi_low,0.0
funding_extreme_negative,0.0
liq_spike,0.0
oi_change,0.0
oi_momentum_5,0.0
funding_extreme_positive,0.0
ob_qty_bid_ask_ratio,0.0
ls_global_extreme_low,0.0
ls_global_ratio,0.0
ls_global_extreme_high,0.0
